idx,label,sentence
1680,1,It is this hat that it is certain that he was wearing.
1456,1,Her efficient looking up of the answer pleased the boss.
4223,1,Both the workers will wear carnations.
4093,1,John enjoyed drawing trees for his syntax homework.
7111,1,"We consider Leslie rather foolish, and Lou a complete idiot."
3017,0,The inspector analyzed the soundness in the building.
2896,1,I broke the twig off the branch.
5242,1,I didn't help him because I have any sympathy for urban guerillas.
7137,1,Bill will put a picture of her on your desk before tomorrow.
8319,1,The owl hated the evil bat and the wise eagle
4352,0,There is more chemical substances involved in nerve transmission.
7400,1,They are special.
2784,1,Steve pelted Anna with acorns.
499,1,I believe John with all my heart to be a fine person.
837,1,the enemy's destroying the city was horrific.
3475,1,little information was provided.
1647,1,I brought John a razor with which to shave himself.
4397,1,Fred must have been singing songs and probably was drinking beer.
546,1,The branches knocked against the wall.
8316,1,That I should evaporate is my fondest dream
3365,0,In the corner lay a dog.
6178,1,I know I bought the book that you recommended.
6724,1,The Labrador ate all the food which we left on the kitchen table.
6026,0,The cat was being eating.
7931,0,The Greeks arrived all.
4679,0,The capital was gathered near by a crowd of people.
6739,1,Lydia eloped with Wickham yesterday.
6062,1,Rory ate muffins.
386,1,They have left.
5781,1,"Bob is very serious about Mary, but less so than Paul."
1494,1,Around midnight I promised that he would be there.
6775,0,Because in came Aunt Norris Fanny stopped talking.
816,0,I consider there a man in that garden.
7535,1,John loved the new pictures of himself.
1822,0,"If my father, he comes home late, my mother always grills him."
6099,0,John thinks that left.
266,1,You give him enough opportunity and every senator will succumb to corruption.
7046,1,We called up every man whose father and whose mother had played on the team.
4483,1,"Tom wanted to go home, but Peter didn't want to."
6421,1,"Every philosopher is sometimes wrong, but he usually doesn't admit it."
4145,0,You are the only person that I can rely on.
8285,0,I kicked yourself
7496,0,Sincerity examined a book.
5409,1,John eats so much.
2355,1,We rummaged through the desk for papers.
6470,1,That evening John laughed with everybody he talked to.
6981,1,The course is jumping well.
5355,0,John is as much intelligent as Mary.
1636,1,"When I am awake and Susan is asleep, Bill will leave."
1395,1,Did you notice which difficulties she made.
6831,1,Ayala sent the diamond necklace back.
4947,1,"The contestant who won the first prize, who is the judge's brother-in-law, sang dreadfully."
2420,1,The butcher cuts the meat.
5795,1,I loved the policeman intensely with all my heart.
497,1,They seemed all to like John.
2238,1,They pushed through the crowd.
5163,1,Was it for this that we suffered and toiled?
2527,0,The politician perjured his aide.
4042,1,John would prefer for the children to finish the oatmeal.
2185,1,Sylvia jumped the horse over the fence.
7465,0,Should not Mary taste the soup?
851,0,"Sally made Bill laugh, and then José made."
6654,1,Vera is knitting in the lounge.
8395,0,He analysis her was flawed
2920,1,The jeweller printed the name over the door.
8000,1,Who did drink the poison?
684,1,John immediately learned French.
230,1,"When Bill smokes, all the more does Susan hate him."
718,1,They returned the books all to their owners.
4592,0,"As a statesman, scarcely he could do anything worth mentioning."
307,0,"They failed to tell me which problem I'll beat the competition more easily, the sooner I solve."
6480,1,Mary sang for everyone who wanted to hear her.
7435,0,John will have been eating enthusiastically cake.
3790,1,Shakespeare wrote his plays a long time ago.
3076,0,Ellen conferred to Helen.
444,0,Mickey slips all the time up.
2951,1,I shaped the dough.
485,1,John wanted to improve his lot in life.
8241,1,We took the car to the town
5292,1,"As for Max, I really like him."
1952,1,John met Mary in Vienna.
5120,1,He got what he wanted.
2985,1,We peered at the baby.
8244,0,There were killed three men.
7806,1,His hen loves Anson.
5381,1,There is enough of the bread left to have tomorrow.
3918,0,The problem disappeared the accusation.
5530,1,"Mary's happy about her work, and John is about his children."
8149,1,They came running over the hill and through the woods
354,1,Who do you think Mary said John likes?
7052,1,I will go and buy some whiskey.
1591,1,"Harry thinks that Sally is innocent, although no one else thinks so."
1716,0,A friend of mine and a girl who was from his home town met in Vienna who was working in Europe.
6846,1,What place did you travel to?
4935,1,The person who John asked for help thinks he is foolish.
922,1,Sally will stand near every woman that you will.
4039,1,We told Tom that he should consult an accountant.
8533,1,Show me letters!
1032,1,Exactly two boys kissed some girl.
4955,1,The knife which he threw into the sea had a gold handle.
6764,0,"When into the room came Aunt Norris, Fanny stopped talking."
4443,1,He will have been seeing his children.
7550,1,The students are proud of themselves.
2789,0,Steve pelted acorns against Anna.
8475,1,Believing that the world is flat gives one some solace.
2313,1,Brenda agreed with Molly.
6221,1,Josh gave Clay a book carefully.
8376,1,All the boys should could go
5390,1,He looks more formidable than he is.
5642,0,The green loved peanut butter cookies.
8277,0,What Julie did of Lloyd was become fond.
247,1,"If he has to wait, John gets angry."
7678,1,Bill visited Mary.
243,0,"The more you eat, you want the more."
1284,0,Tony has a Fiat to yearn for a tall nurse.
4106,0,Sharon has been eager finishing the book.
2208,1,We loaded onto the bus.
7269,1,Whether to win is a question Mary never considered.
511,1,Ions struck the electrode.
5934,1,Phillip gave the soldier the medal.
4696,1,The events have been described well.
1577,0,Seven more ones came in after ten soldiers had left.
3124,1,Teresa bottle fed the baby soy milk.
7761,1,I think she is pregnant
3114,1,Cynthia lunched.
2877,1,I mixed the eggs with cream.
5245,0,Almost an owl hunts mice.
1941,1,No student who ever goes to Europe ever has enough money.
2581,0,Water pours easily onto the plants.
6496,1,Every student who wins any trophy displays it in a prominent place.
4399,1,Fred must have both been singing songs and been drinking beer.
3714,1,John sang a song and danced to the music.
8457,1,Medea might have given Jason a poisoned robe (just treat a poisoned robe as an NP
3653,1,John sounded happy.
39,1,They made him angry.
2047,0,Fred offered the ball over Molly.
1030,1,Who will be offended if we don't invite which philosopher?
4727,1,The house has been lived in by several famous personages.
4272,1,John is eager to please Kim.
7076,1,The boys and the girls seem happy.
2725,0,We contributed her with our paycheck.
4458,0,They will do come.
7182,0,"Put a picture of Bill on your desk, this girl in the red coat will put a picture of Bill on your desk before tomorrow."
6852,0,Only the best students would he give this book.
5794,0,the one of poems with a red cover takes a very long time to read.
5998,0,Calvin has not any catnip.
2153,0,Janet broke at the vase.
1711,0,The hardest that all the power lines were down and it snowed was last January 12th.
7337,0,The time elapsed the day.
8033,1,Euclid was interested in Plato's description of geometry.
1545,1,John is prouder of having gone than people who don't know him would expect me to believe he would be.
6065,1,Rory has eaten the muffins.
6723,1,A motorist has reported that the road is blocked by snow at Bunker Hill.
7033,1,Which student's grades went unreported?
6932,0,What happened was they knew his parents.
3824,1,John told the rumor to his friend.
3608,1,"The happy, happy, happy, happy, happy, happy man sang a song."
8416,0,"Who had Poseidon run away, because the executioner murdered?"
2347,1,Melissa searched for a clue in the papers.
7516,1,He should decide soon.
1540,0,John is prouder of having gone than John didn't expect me to believe he would be.
3101,1,Cynthia ate the peach with a fork.
6378,0,"Always, any lion is majestic."
5746,1,Cedric danced a jolly jig.
542,1,The maple changed into an oak from a cedar.
3831,1,There still remains an issue to be solved.
1478,1,That that it would confuse the guards for Herschel to throw a fit was obvious is not true.
2248,1,I pushed on the table.
6841,0,The manager presented the foreman a gold watch.
6518,1,The man I think chased Fido returned.
8249,0,Dracula thought that himself was the Prince of Darkness.
8299,0,Jason whispered the phoenix had escaped
7474,0,her will the race.
4312,0,It tried to be intelligent.
1517,0,Tom told anybody that he wasn't sick.
4181,1,Some of the diners need menus.
6107,0,Bill is likely John to hit.
6509,1,"Almost every cat likes mice, for example Felix doesn't."
3930,0,John put in the box.
1346,1,Reports the covers of which the government prescribes the height of the lettering on almost always put me to sleep.
4523,1,They shouldn't leave soon.
636,1,John took Bill to be a fool.
3280,1,An old woman lodged at Mrs. Parker's.
4555,0,Ann may spends her vacation in Italy.
895,1,Does Joe sing?
1404,1,"In this experiment, fourteen variables must be kept track of simultaneously."
446,0,John thinks what Mary bought.
7190,0,"Will put a picture of Bill on your desk before tomorrow, this girl in the red coat will put a picture of Bill on your desk before tomorrow."
8394,0,There seem three men to be in the garden.
3967,1,George mailed the attorney his photograph of the accident.
1668,1,It was this hat that Tom said Al thought you wanted me to make Jack put on.
3934,1,John disappeared.
2973,1,The press conjectured that Smith would be the appointee.
7106,0,Kim gave a dollar to Bobbie and a dime into his pocket.
8083,0,Did Medea poison who?
628,1,Spray all the paint onto the wall completely.
3833,1,"There arrived a tall, red haired and incredibly well dressed man."
759,0,We proved conclusively to the authorities Smith to be the thief.
5105,0,It is order one first that you should do first.
919,0,"Near everyone Angleton did, Dulles stood."
4517,1,Don't you even touch that!
8433,0,We all thought he to be unhappy
6364,1,John kissed even the ugliest woman who came up to him.
7762,1,It's extremely windy today.
6827,1,These fields were marched over by all the armies of Europe.
5359,1,These plants may grow as much as 6 feet high.
4716,1,The son took care of his parents.
2179,1,This metal won't pound flat.
5025,1,Hei is easy to please i.
8063,1,I have eaten already
6154,1,Louis was sent a book.
6718,1,Who thought up the proposal that the committee be abolished?
5752,1,Susan rode a bright blue train from New York.
4164,1,In preparation for the return fixture this team has trained more efficiently than they had in recent months.
2506,1,Philippa cried herself to sleep.
4650,1,The model resembles Kim in nearly every detail.
7105,0,"Pat wanted to go to Berne, and Chris going to Rome."
1526,1,That Jack ever slept is impossible.
7791,0,What I arranged for Jenny was to be present.
980,1,The perception of the problem is quite thorough.
2926,1,The jeweller decorated the ring.
5546,1,John is taller than six feet.
2148,1,Carla hit the door.
1092,0,Here is the snowball which I chased the boy who threw at our teacher.
1322,1,What exploded when?
6292,1,Sandra hates reading about herself in the tabloids.
2108,0,Robin arrived partway at the station.
2361,1,The horse kicked Penny in the shin.
1969,0,I deny that that Bob has some money is certain.
5089,1,What I've always tended to do is to do my own stretches at home.
2470,1,Sarah smiled.
6734,1,Anne astonished her father.
1949,0,I didn't eat any ice cream or Mary's cake.
3115,1,Cynthia lunched on peaches.
5378,0,Enough Sally eats caviar.
2172,1,Crystal breaks at the slightest touch.
4708,1,Nina got them to elect Bill.
2212,0,Brenda chatted Molly.
538,0,Fruit fell against the house against the ground.
4125,1,My bother's friend learned dancing.
5703,1,The drooling dog kissed the big boy.
2913,1,Phyllis dyed the dress.
6487,1,John knew any language that we encountered on our trip.
6820,1,These documents Elizabeth is checking at this very moment.
2484,0,The cook boned the fish of bones.
7609,1,Who did Bill leave.
646,1,Dry the baby with the cloth asleep.
3557,1,"John sang a song, Mary played the piano."
1587,1,"After Henry had touched a sword, Webster did it."
3380,1,The horse jumped into the stream.
5628,1,The man is dancing.
5790,0,the book with a red cover from Blackwell of poems by Robert Burns takes a very long time to read.
7831,1,We kicked ourselves
2169,1,a The butcher cuts the meat.
6510,1,The Dodgers beat the Red Sox and the Dodgers were beaten by the Giants.
2637,1,Brian wiped the fingerprints from under the cupboard.
6965,1,Those bandits attacked Emma and Harriet yesterday.
1164,0,I know a man who Tom drives as does.
2547,1,Cheryl stood the books next to the magazines.
433,1,I explained how we should fix the sink.
7825,1,Every vampire slept.
135,1,"Everyone keep your mouth shut tighter, the more John eats, OK?"
179,0,"I don't plan to lock the door, no matter how fancy this hotel."
5190,1,Every poodle gives live birth.
3909,1,Kim jogs on the hill.
613,1,John laid the book on the table.
6059,1,"If I were a rich man, I'd buy a diamond ring."
7922,0,I have might be flying helicopters.
7768,1,I have often eaten muffins.
7521,1,Each of the boys fought with the other boys.
8547,0,Digitize is my happiest memory
1327,1,Please make yourself comfortable and I'll wash the dishes.
7525,1,the girls likes themselves.
4432,1,The child was never deceived.
5876,0,Traci gave a lollipop.
8378,1,The intrepid pirate and the fearful captain's mate sunk the galleon.
5884,1,The psychologist hates phonology.
55,1,The witch went into the forest and thereby vanished.
7675,0,John convinced there to be several firemen available.
4520,0,Better you not drink.
4009,0,We caught them eaten the bananas.
7681,1,John believes the rice to have been cooked by Bill.
7654,1,John promised Mary to cut the grass.
7283,1,John can go to the market on his bike.
2015,0,Felicia sent the box off the shelf.
906,1,"Joe likes his bar, and Sally's patrons do too."
143,0,"It is important the more you eat, the more careful you to be."
2382,1,The clown amused the children with his antics.
2868,1,That chisel carved the statue.
4398,1,Fred must both have been singing songs and have been drinking beer.
719,1,We painted the chairs all red.
4643,1,The car has been being driven.
28,1,We drove Highway 5 from SD to SF.
6461,1,Paul has interviewed every student who was at the scene of the crime and Kate has interviewed them too.
4825,1,Who protected him?
1493,0,I'll give to my good friend from Akron some.
1582,1,"After ten had left, seven more soldiers came in."
4382,1,She would never believe that story.
5453,1,I don't want trouble.
6103,1,The puppy was kissed by the policeman.
2734,0,Brown equipped a camera near Jones.
3081,1,Ellen said to Helen that melons were selling well.
7599,1,"The pictures of Bill, she put on your desk."
7730,1,"Medea, Jason poisoned."
3392,1,They rowed along the canals of Venice.
2321,1,The eggs and the cream mixed together.
6848,1,What place did John send the book?
2077,0,Smith envied his good fortune to Jones.
3108,0,Cynthia gobbled at the pizza .
4692,1,The document was looked into by the lawyer.
2847,1,Carrie touched the fence with a stick.
4142,0,The characters in Shakespeare's Twelfth Night lives in a world that has been turned upside-down.
3883,1,The senators know that the president is telling a lie.
957,1,"A lot of this material can be presented in a fairly informal and accessible fashion, and often I do."
150,1,"It is important to be more careful, the more you eat."
8442,1,No one could remove the blood from the wall
4741,1,Be very clever.
991,0,This drug's testing on oneself is too risky.
289,1,"The folks up at corporate headquarters are the sort of people who the sooner you solve this problem, the more easily you'll satisfy."
2557,0,Cheryl stood on the table.
200,0,"The more he reads, the more books I wonder to whom he will give."
253,1,"The more pictures of him appear in the news, the more likely John is to get arrested."
3963,1,Tom hid the manuscript in the cupboard.
5260,0,The men would all not have been working.
8406,1,That I should kiss pigs is my fondest dream
8401,0,Who did a statue of surprise Medea?
6193,1,I asked what John kissed.
3327,1,There stood on the comer a statue of Jefferson.
64,1,Bill floated into the cave.
8274,0,He kicked yourself
3484,0,few information was provided.
2343,1,Ida hunted the woods for deer.
654,1,John included her name in the list.
7948,1,A programme about Euripides is on a Radio 4 tonight.
783,0,Mary's criticism him was cruel.
2412,1,"The contractor will build a house for $ 100,000."
5551,1,Mary has more friends than just Bill and Pete.
8291,0,We wanted to ate cake
2193,1,Heat radiates from the sun.
5456,1,John isn't any more reliable a fellow than Bill.
5360,1,These plants may grow as high as 6 feet.
5430,0,He's the bit of a gossip.
1980,0,The man who I gave John this picture of was bald.
6542,0,Which did you buy the table supported the book?
6925,1,The gardener planted roses in the garden.
4738,1,Is John clever?
1113,1,He attributed the fire to a short circuit.
5771,1,Gene Simmons was originally named Haim Goldberg.
5067,0,I owe that the jury acquitted me to you.
3361,1,The dog flopped in the comer.
4344,0,It is likely to seem to be arrogant.
979,1,John bought the picture of himself that Bill saw.
2505,1,Belinda walked the soles off her shoes.
1408,1,Her indiscretions were made light of.
6832,1,Ayala sent her cousin the diamond necklace.
261,1,"John is more embarrassed, the more pictures of himself appear in the news."
5416,1,"I'm as much of a man as you are, my dear."
282,1,"Any senator seems to become more corrupt, as he talks to more lobbyists."
5748,1,Gilgamesh cut the steak with a knife.
3577,1,Students objected to the teacher.
6990,1,Pat is either asleep or at the office.
8231,0,We kicked us
902,1,Every man who said he would buy some salmon did buy some salmon.
8447,1,Gilgamesh is fighting the dragon.
7702,1,Which book about herself did Jenny say that Anson had written.
2453,0,There ran a little boy in the yard.
3355,1,In front of them happen.
1971,1,Tom will force you to marry no student.
4610,1,John has chosen Bill for the position.
4070,1,To train his horse would be desirable.
7087,1,"Kim likes Sandy, and Lee Leslie. to try to go to Rome."
6409,0,Any student in Mary's class happened to vote.
860,1,"Sally might have eaten cabbage, but Holly shouldn't."
1388,1,The only relatives who I'd like to do away with are my aunts.
1138,0,"We elected my father, who had just turned 60, president."
7301,1,She ran the car on propane from Reno to Vegas.
