idx,label,sentence
1680,1,It is this hat that it is certain that he was wearing.
1456,1,Her efficient looking up of the answer pleased the boss.
4223,1,Both the workers will wear carnations.
4093,1,John enjoyed drawing trees for his syntax homework.
7111,1,"We consider Leslie rather foolish, and Lou a complete idiot."
3017,0,The inspector analyzed the soundness in the building.
2896,1,I broke the twig off the branch.
5242,1,I didn't help him because I have any sympathy for urban guerillas.
7137,1,Bill will put a picture of her on your desk before tomorrow.
8319,1,The owl hated the evil bat and the wise eagle
4352,0,There is more chemical substances involved in nerve transmission.
7400,1,They are special.
2784,1,Steve pelted Anna with acorns.
499,1,I believe John with all my heart to be a fine person.
837,1,the enemy's destroying the city was horrific.
3475,1,little information was provided.
1647,1,I brought John a razor with which to shave himself.
4397,1,Fred must have been singing songs and probably was drinking beer.
546,1,The branches knocked against the wall.
8316,1,That I should evaporate is my fondest dream
3365,0,In the corner lay a dog.
6178,1,I know I bought the book that you recommended.
6724,1,The Labrador ate all the food which we left on the kitchen table.
6026,0,The cat was being eating.
7931,0,The Greeks arrived all.
4679,0,The capital was gathered near by a crowd of people.
6739,1,Lydia eloped with Wickham yesterday.
6062,1,Rory ate muffins.
386,1,They have left.
5781,1,"Bob is very serious about Mary, but less so than Paul."
1494,1,Around midnight I promised that he would be there.
6775,0,Because in came Aunt Norris Fanny stopped talking.
816,0,I consider there a man in that garden.
7535,1,John loved the new pictures of himself.
1822,0,"If my father, he comes home late, my mother always grills him."
6099,0,John thinks that left.
266,1,You give him enough opportunity and every senator will succumb to corruption.
7046,1,We called up every man whose father and whose mother had played on the team.
4483,1,"Tom wanted to go home, but Peter didn't want to."
6421,1,"Every philosopher is sometimes wrong, but he usually doesn't admit it."
4145,0,You are the only person that I can rely on.
8285,0,I kicked yourself
7496,0,Sincerity examined a book.
5409,1,John eats so much.
2355,1,We rummaged through the desk for papers.
6470,1,That evening John laughed with everybody he talked to.
6981,1,The course is jumping well.
5355,0,John is as much intelligent as Mary.
1636,1,"When I am awake and Susan is asleep, Bill will leave."
1395,1,Did you notice which difficulties she made.
6831,1,Ayala sent the diamond necklace back.
4947,1,"The contestant who won the first prize, who is the judge's brother-in-law, sang dreadfully."
2420,1,The butcher cuts the meat.
5795,1,I loved the policeman intensely with all my heart.
497,1,They seemed all to like John.
2238,1,They pushed through the crowd.
5163,1,Was it for this that we suffered and toiled?
2527,0,The politician perjured his aide.
4042,1,John would prefer for the children to finish the oatmeal.
2185,1,Sylvia jumped the horse over the fence.
7465,0,Should not Mary taste the soup?
851,0,"Sally made Bill laugh, and then José made."
6654,1,Vera is knitting in the lounge.
8395,0,He analysis her was flawed
2920,1,The jeweller printed the name over the door.
8000,1,Who did drink the poison?
684,1,John immediately learned French.
230,1,"When Bill smokes, all the more does Susan hate him."
718,1,They returned the books all to their owners.
4592,0,"As a statesman, scarcely he could do anything worth mentioning."
307,0,"They failed to tell me which problem I'll beat the competition more easily, the sooner I solve."
6480,1,Mary sang for everyone who wanted to hear her.
7435,0,John will have been eating enthusiastically cake.
3790,1,Shakespeare wrote his plays a long time ago.
3076,0,Ellen conferred to Helen.
444,0,Mickey slips all the time up.
2951,1,I shaped the dough.
485,1,John wanted to improve his lot in life.
8241,1,We took the car to the town
5292,1,"As for Max, I really like him."
1952,1,John met Mary in Vienna.
5120,1,He got what he wanted.
2985,1,We peered at the baby.
8244,0,There were killed three men.
7806,1,His hen loves Anson.
5381,1,There is enough of the bread left to have tomorrow.
3918,0,The problem disappeared the accusation.
5530,1,"Mary's happy about her work, and John is about his children."
8149,1,They came running over the hill and through the woods
354,1,Who do you think Mary said John likes?
7052,1,I will go and buy some whiskey.
1591,1,"Harry thinks that Sally is innocent, although no one else thinks so."
1716,0,A friend of mine and a girl who was from his home town met in Vienna who was working in Europe.
6846,1,What place did you travel to?
4935,1,The person who John asked for help thinks he is foolish.
922,1,Sally will stand near every woman that you will.
4039,1,We told Tom that he should consult an accountant.
8533,1,Show me letters!
1032,1,Exactly two boys kissed some girl.
4955,1,The knife which he threw into the sea had a gold handle.
