idx,label,sentence1,sentence2
1680,0,"The identical rovers will act as robotic geologists , searching for evidence of past water .","The rovers act as robotic geologists , moving on six wheels ."
1456,0,Less than 20 percent of Boise 's sales would come from making lumber and paper after the OfficeMax purchase is completed .,"Less than 20 percent of Boise 's sales would come from making lumber and paper after the OfficeMax purchase is complete , assuming those businesses aren 't sold ."
3017,1,Spider-Man snatched $ 114.7 million in its debut last year and went on to capture $ 403.7 million .,"Spider-Man , rated PG-13 , snatched $ 114.7 million in its first weekend and went on to take in $ 403.7 million ."
2896,1,The 2002 second quarter results don 't include figures from our friends at Compaq .,The year-ago numbers do not include figures from Compaq Computer .
499,0,"Solomon 5.5 is available initially in the United States and Canada , for a starting price of about $ 12,700 .",Solomon 5.5 is now available in the U.S. and Canada through Microsoft Business Solutions resellers .
837,0,"The family stopped for lunch at Freshwater Spit , where several children went to the water 's edge to play in the surf shortly after noon .","Several children , including the 8-year-old , went down to the water 's edge to play in the surf ."
3475,1,GM 's offering is also expected to include about $ 3.5 billion in convertible securities .,"GM is also expected to issue $ 3.5 billion via a convertible bond offering , market sources said ."
1647,1,"Those in their twenties who ejaculated more than five times a week were one-third less likely to develop aggressive prostate cancer later in life , they say .",Those who ejaculated more than five times a week were a third less likely to develop serious prostate cancer in later life .
546,1,"The draft of the report was forthright : "" Climate change has global consequences for human health and the environment . ""","The original report had concluded that ' ' climate change has global consequences for human health and the environment , ' ' according to an internal EPA memo ."
3365,1,"Drug developer Inspire Pharmaceuticals Inc . ISPH.O tumbled $ 2.17 , or 13.4 percent , to $ 13.98 .","Drug developer Inspire Pharmaceuticals Inc . ( nasdaq : ISPH - news - people ) tumbled $ 2.17 , or 13.4 percent , to $ 13.98 ."
386,1,""" This sale is part of our efforts to simplify our Foodservice Products business and improve its cost structure , "" Multifoods chairman and chief executive officer Gary Costley said .",""" This sale is part of our efforts to simplify our Foodservice Products business and improve its cost structure , "" chairman and CEO Gary Costley said in a statement ."
1494,1,He had said before the meeting that he planned to urge Chinese officials to move quickly to adopt a more flexible currency system .,He has said he plans to urge Chinese officials during the G20 meeting to move more quickly to adopt a more flexible currency system .
816,0,The United States has accused Iran of masking plans to make nuclear weapons behind a civilian nuclear programme .,The United States has repeatedly accused Iran of trying to develop nuclear weapons .
266,1,"Gov. Rick Perry has said that while he opposes gambling expansion , he would be reluctant to veto continuation of the Lottery Commission .","Gov. Rick Perry opposes expansion of gambling but has said he would be "" hard-pressed "" to veto the lottery sunset bill ."
2355,1,"Farmland Foods President George Richter said , "" With Smithfield 's support and leadership , Farmland Foods will succeed and continue to sustain the Midwestern communities which depend on it . ""","With Smithfields leadership , Farmland Foods will succeed and continue to sustain the Midwestern communities which depend on it ."
1636,0,Nterprise Linux Services is expected to be available before then end of this year .,Beta versions of Nterprise Linux Services are expected to be available on certain HP ProLiant servers in July .
1395,1,"Oh yeah , Miami , Boston College and Syracuse leaving the Big East to take a seat in the Atlantic Coast Conference .","Boston College , Miami and Syracuse are considering leaving the Big East for the Atlantic Coast Conference by the end of the month ."
2420,1,We are currently trying to understand the scope and details of the investigation . . . .,Weber said late Thursday that the company is still trying to understand the scope and details of the investigation .
2238,1,"Moore was expected to be discharged from the hospital Thursday or Friday , according to Jackie Green , a spokeswoman for the show 's press agent .","The English star was expected to be discharged from the hospital soon , said Jackie Green , a spokeswoman for the show 's press agent ."
2527,0,""" Fighting continued until midnight , "" western rebel commander Ousmane Coulibaly told Reuters by satellite phone on Sunday .",""" They ransacked and burned the two villages completely , "" rebel commander Ousmane Coulibaly told Reuters by satellite phone from the bush ."
4042,1,"Microsoft favors setting up "" independent e-mail trust authorities to establish and maintain commercial email guidelines , certify senders who follow the guidelines , and resolve customer disputes . ""","Gates says he wants to see "" independent e-mail trust authorities "" who "" establish and maintain commercial email guidelines , certify senders who follow the guidelines , and resolve customer disputes . """
2185,1,"Though the legal age for marriage in Romania is 18 , the country generally tolerates the Gypsy tradition of arranged child weddings .","Though the legal age for marriage in Romania is 18 , the country generally tolerates the tradition of arranged child weddings among Roma , as Gypsies are also known ."
851,1,"Ruffner , 45 , doesn 't yet have an attorney in the murder charge , authorities said .","Ruffner , 45 , does not have a lawyer on the murder charge , authorities said ."
2920,1,""" The timing of [ the miniseries ] is absolutely staggering to me , "" Nancy Reagan said in a statement to Fox News Channel last week .","Nancy Reagan issued a statement last week to the Fox News Channel saying , "" The timing of [ the miniseries ] is absolutely staggering to me ."
684,1,She was arraigned in New York state on three counts of murder and ordered held without bail .,She was arraigned on three counts of second-degree murder and ordered held without bail in Sullivan County Jail .
307,1,"The new effort , Taxpayers Against the Recall , will be formally launched Wednesday outside a Sacramento fire station .","Called "" Taxpayers Against the Recall , "" it was to be launched Wednesday afternoon outside a Sacramento fire station ."
3790,1,The Commerce ruling Tuesday will impose a 44.71 percent tariff on dynamic random access memory semiconductors ( DRAMS ) made by Hynix Semiconductor Inc .,"The Commerce Department imposed a 44.71 percent tariff on dynamic random access memory semiconductors , or DRAMS , made by Hynix Semiconductor Inc ."
3076,0,""" We need to change old habits and seriously rethink business-as-usual . ""","He urged employees to "" avoid complacency "" and to "" change old habits and seriously rethink business-as-usual . """
444,0,"Currently , the state 's congressional delegation is made up of 17 Democrats and 15 Republicans .","Although Republicans now hold every statewide office , the state 's congressional delegation comprises 17 Democrats and 15 Republicans ."
2951,1,"But its most popular comedy , Friends , is going into its last season .","But its most popular comedy , Friends , will sign off after a two-hour finale next May ."
485,0,"Five more human cases of West Nile virus , were reported by the Mesa County Health Department on Wednesday .","As of this week , 103 human West Nile cases in 45 counties had been reported to the health department ."
1952,1,"When a manager let him into the apartment , the youngster was in a baby 's bathtub , covered with a towel and watching a TV cartoon channel .","When the manager let him in the apartment , Brianna was in her mother 's bedroom lying in a baby 's bathtub , covered with a towel and watching cartoons ."
2985,1,"Watson , of Whitakers , N.C. , was found guilty of making a false threat to detonate explosives , and destruction of federal property .","Dwight Watson , 50 , was convicted of making a false threat to detonate explosives and of destroying federal property ."
3918,1,"A passer-by found Ben hiding along a dirt road in Spanish Fork Canyon about 7 p.m. , with his hands still taped together but his feet free .","A passer-by found the boy hiding along a dirt road in Spanish Fork Canyon about 7 p.m. Thursday , with his feet free but his hands still taped ."
1591,1,"The singer has been on a ventilator since the crash at his Buckinghamshire estate last night , but his condition was described as “ stable ” and “ comfortable ” .","The singer has been on a ventilator since the crash at his Buckinghamshire estate on Monday , with his condition last night described as “ stable and comfortable ” ."
1716,0,"He is accused of obstructing justice , witness tampering and destroying evidence .","Quattrone , 47 , is charged with obstruction of justice and witness tampering ."
922,1,"In Taiwan , the capital 's mayor and other officials handed out free thermometers in a islandwide ``take-your-temperature ' ' campaign Sunday , amid evidence that containment efforts were also paying off .","In Taiwan , officials handed out free thermometers in an island-wide ``take-your-temperature ' ' campaign amid signs containment efforts were paying off ."
4039,1,"After consulting with experts , he said he was advised a delay will give Luna his best chance of reuniting with "" L "" Pod , his family .","Experts say the delay will give Luna his best chance of reuniting with "" L "" Pod , his family , Thibault said ."
1032,0,The official would not name the leakers for the record and said he had no indication that Mr Bush knew about the calls .,The official would not name the leakers for the record and would not name the journalists .
2789,1,"But he added , "" Once the problem grew to a certain magnitude , nothing could have been done to prevent it from cascading out of control . """,""" However , the report also tells us that once the problem grew to a certain magnitude , nothing could have been done to prevent it from cascading out of control . """
2313,0,"Klitschko said : "" I 'm excited to box in Los Angeles first and then against Lennox Lewis .",""" I am excited to be fighting in Los Angeles and on HBO , "" Klitschko said ."
247,1,"With the exception of dancing , physical activity did not decrease the risk .",Dancing was the only physical activity associated with a lower risk of dementia .
243,1,"On April 11 , Mayor Bart Peterson said it was "" inconceivable "" that the airline would resume operations at the base that had employed 1,500 workers , including 1,100 mechanics .","On April 11 , Mayor Bart Peterson conceded that the facility 's fate was inevitable , quashing the hopes of the airline 's 1,500 local workers , including 1,100 mechanics ."
1284,1,"Sobig.F became one of the most widespread viruses ever , crippling corporate e-mail networks and filling home users ' inboxes with a glut of messages .","Since surfacing late Monday , Sobig.F has been crippling corporate e-mail networks and filling home users ' inboxes with a glut of messages ."
2208,1,"Shares of Pleasanton-based PeopleSoft rose 4 cents , to $ 16.96 , in Monday trading on the Nasdaq Stock Market .",PeopleSoft shares were up 4 cents at $ 16.96 in late morning trade on the Nasdaq .
511,1,Feral 's group was behind a successful tourism boycott about a decade ago that resulted in then-Gov . Walter J. Hickel imposing a moratorium on wolf control in 1992 .,"Friends of Animals , which touts 200,000 members , was behind a successful tourism boycott that resulted in then-Gov . Walter J. Hickel imposing a moratorium on wolf control in 1992 ."
1577,1,"In December 1998 , a 33-year-old woman died when she was hit by a metal cleat that came loose from the Columbia sailing ship .","In 1998 , a 33-year-old man died after he was struck by a metal cleat at the Columbia ship attraction ."
3124,1,"The Aspen fire had charred more than 12,400 acres by Monday on Mount Lemmon just north of Tucson and more than 250 homes had been destroyed .","The fire has so far charred 11,400 acres on Mount Lemmon just north of Tucson , and more than 250 homes have been destroyed ."
3114,1,"An experimental drug can slow the loss of vision caused by an eye disease that is the leading cause of blindness among the elderly , researchers have found .","An experimental drug can slow the loss of vision caused by a maddening eye disease that is the leading cause of blindness among the elderly , doctors reported on Saturday ."
2877,0,""" These are defining moments for players and organizations , "" Anaheim coach Mike Babcock said .",""" There are defining moments for players and organizations where you are measured ."
1941,1,Missouri Gov. Bob Holden asked the White House to declare a federal disaster in 39 counties .,Gov. Bob Holden asked Bush to declare 39 Missouri counties disaster areas .
2581,1,"Ride , astronauts Story Musgrave , Robert "" Hoot "" Gibson and Daniel Brandenstein will enter the hall of fame together .","Ride will be enshrined along with astronauts Story Musgrave , Robert "" Hoot "" Gibson and Daniel Brandenstein ."
3714,1,"In a conference call with reporters , RNC Chairman Ed Gillespie said he sent the request to CBS Television President Leslie Moonves .",Republican National Committee Chairman Ed Gillespie issued a letter Friday to CBS Television President Leslie Moonves .
3653,1,The chip also features an updated LongRun power and heat management system .,It also features Nvidia 's own PowerMizer power management system .
39,1,Prosecutors filed a motion informing Lee they intend to seek the death penalty .,He added that prosecutors will seek the death penalty .
1030,1,Officer Evans did not respond to requests for an interview last week .,Officer Evans had declined written and telephone requests for an interview .
2725,1,"There are a total of 659 women enrolled at the academy , the report said .",There were 659 women enrolled at the academy at the time of the survey .
2153,1,""" If that ain 't a Democrat , then I must be at the wrong meeting , "" he said to a standing ovation .","And if that ain 't a Democrat , then I must be in the wrong meeting , "" he said to thunderous applause from his supporters ."
1711,1,""" United is continuing to deliver major cost reductions and is now coupling that effort with significant unit revenue improvement , "" chief financial officer Jake Brace said in a statement .",""" United is continuing to deliver major cost reductions and is now coupling that effort with significant unit revenue improvement , "" he said ."
1545,1,""" The longer this series goes , the better chance Dirk has to play . """,""" I think the longer the series goes , the more chance Dirk has to play , "" Nelson said ."
3824,1,"Authorities said the bodies of a man and woman were recovered on Friday from a camping ground in nearby Devore , where a wall of mud destroyed 32 caravans .","Two other bodies were recovered on Friday from a campground in nearby Devore , where a wall of mud destroyed 32 trailers ."
3608,1,"Handset market share for the second quarter , it said , is higher than the first quarter .","Nokia 's market share for the second quarter is estimated to be higher than the first quarter , 2003 . """
2347,0,The ministers also intend to initiate plans for a national centre for disease control .,The health ministers also announced plans for healthy living and tobacco control strategies .
3101,0,"Veritas said new customers can buy Bare Metal Restore for $ 900 per Windows client and $ 1,000 per Unix client .","Bare Metal Restore 4.6 will be available in mid-June , said Veritas , and will cost $ 900 per Windows client and $ 1,000 per Unix client ."
542,1,"When police removed the four from the home , they weighed 136 pounds combined .",Each boy weighed less than 50 pounds when they were removed from the home Oct. 10 .
3831,1,"At present , the FCC will not request personal identifying information prior to allowing access to the wireless network .",The FCC said that it won 't request personal identifying information before allowing people to access the wireless network .
1478,1,"This year , local health departments hired part-time water samplers and purchased testing equipment with a $ 282,355 grant from the Environmental Protection Agency .","This year , Peninsula health officials got the money to hire part-time water samplers and purchase testing equipment thanks to a $ 282,355 grant from the Environmental Protection Agency ."
2248,1,"Since Perkins ' arrival at UConn in 1990 from Maryland , UConn has fielded six national championship teams in three sports - men 's and women 's basketball and men 's soccer .","Since Perkins arrived at UConn in 1990 from Maryland , the Huskies have fielded six national championship teams in three sports -- men 's basketball , women 's basketball and men 's soccer ."
1517,1,Idaho Gem also is the first sterile animal to be cloned .,""" He is the first and only cloned sterile hybrid . """
3930,1,"Instead , tickets for the Jersey jam went on sale last night through Ticketmaster .","Tickets , available through Ticketmaster , went on sale yesterday ."
1346,1,"CIA Director George Tenet said the two men were "" defined by dedication and courage . """,""" [ They ] were defined by dedication and courage , "" said the CIA 's director George Tenet ."
636,0,"Southwest exercised nine 2004 options and six 2005 options , which were accelerated for delivery next year .",Southwest said it recently exercised remaining options for the delivery of nine Boeing 737-700s next year .
3280,1,A 1991 Florida straw poll helped catapult a little-known Bill Clinton to national prominence .,"A similar Florida straw poll in 1991 brought attention to Bill Clinton , according to Democrats ."
895,1,"In 1995 , Schwarzenegger expanded the program nationwide to serve 200,000 children in 15 cities , most who come from housing projects or homeless shelters .","In 1995 , Schwarzenegger expanded the program nationwide to 15 cities , serving 200,000 children , most of whom come from housing projects or homeless shelters ."
